title_english,status,episodes,rating,rank,popularity,members,favorites,score,scored_by,genres,themes,demographics
Dojin Work,Finished Airing,12.0,PG-13 - Teens 13 or older,5774.0,4474,29416,39,6.74,13788.0,Comedy,Otaku Culture,
,Finished Airing,1.0,PG-13 - Teens 13 or older,,8550,5946,39,7.65,3530.0,,Music,
Princess 69,Finished Airing,4.0,Rx - Hentai,,7798,7396,39,6.27,2647.0,Hentai,,
Girls' Frontline,Finished Airing,24.0,PG-13 - Teens 13 or older,5804.0,8054,6874,39,6.74,2264.0,"Comedy, Sci-Fi","Anthropomorphic, Military",
,Finished Airing,1.0,PG-13 - Teens 13 or older,3774.0,8689,5758,39,7.14,764.0,,"Idols (Male), Music",Josei
,Finished Airing,12.0,R+ - Mild Nudity,10287.0,4932,23309,39,5.97,9814.0,"Action, Comedy, Ecchi",Harem,Seinen
Fights Break Sphere: Origin,Finished Airing,3.0,PG-13 - Teens 13 or older,1399.0,9880,3980,39,7.68,1573.0,"Action, Adventure, Fantasy, Romance",Martial Arts,
Learning with Manga! Fate/Grand Order,Finished Airing,1.0,PG-13 - Teens 13 or older,1662.0,5348,19267,39,7.59,10244.0,Comedy,,
The Everyday Tales of a Cat God,Finished Airing,12.0,PG-13 - Teens 13 or older,6575.0,4739,25735,39,6.61,7398.0,"Comedy, Supernatural",CGDCT,Seinen
Cinderella Chef: Adorable Food Goddess,Finished Airing,12.0,PG-13 - Teens 13 or older,2258.0,6764,10552,39,7.44,3794.0,"Adventure, Comedy, Drama, Gourmet, Romance","Historical, Time Travel",
A Certain Magical Index: Specials,Finished Airing,2.0,PG-13 - Teens 13 or older,4924.0,3232,54922,39,6.9,26536.0,Comedy,Parody,
Miru Tights: Cosplay Photoshoot Tights,Finished Airing,1.0,PG-13 - Teens 13 or older,7860.0,4427,30179,39,6.4,15336.0,Ecchi,School,
Swallowed Star 3rd Season,Finished Airing,33.0,PG-13 - Teens 13 or older,220.0,9711,4192,39,8.38,1989.0,"Action, Adventure, Fantasy, Sci-Fi",Martial Arts,
Days of Urashimasakatasen,Finished Airing,12.0,PG-13 - Teens 13 or older,9483.0,8331,6328,39,6.12,2995.0,Comedy,School,
Cyborg 009,Finished Airing,50.0,PG-13 - Teens 13 or older,3719.0,6356,12206,39,7.15,3886.0,"Action, Adventure, Sci-Fi",,Shounen
Pan de Peace!,Finished Airing,13.0,PG-13 - Teens 13 or older,11866.0,4185,34104,39,5.66,16071.0,"Comedy, Gourmet","CGDCT, School",
,Currently Airing,13.0,PG-13 - Teens 13 or older,12132.0,5908,14781,39,5.59,1547.0,"Adventure, Fantasy",,Josei
,Finished Airing,3.0,R - 17+ (violence & profanity),4962.0,5914,14672,39,6.89,6689.0,Comedy,"Parody, Strategy Game",Seinen
The Prince of Tennis: The National Tournament Semifinals,Finished Airing,6.0,PG-13 - Teens 13 or older,895.0,3865,39911,39,7.87,21480.0,Sports,,Shounen
,Finished Airing,1.0,PG-13 - Teens 13 or older,4674.0,5166,21008,39,6.96,4852.0,"Comedy, Romance",School,
Beat Angel Escalayer,Finished Airing,3.0,Rx - Hentai,,6541,11394,39,6.5,4735.0,"Sci-Fi, Hentai","Mythology, Super Power",
,Finished Airing,1.0,PG-13 - Teens 13 or older,789.0,4762,25461,39,7.93,13332.0,,Strategy Game,Shounen
,Finished Airing,2.0,Rx - Hentai,,6813,10363,39,6.52,3833.0,Hentai,,
Blade,Finished Airing,12.0,R - 17+ (violence & profanity),8905.0,4403,30226,39,6.22,12080.0,"Action, Drama, Horror, Supernatural",Vampire,
Cute High Earth Defense Club HAPPY KISS!,Finished Airing,12.0,PG-13 - Teens 13 or older,7398.0,6123,13474,39,6.47,3977.0,"Comedy, Fantasy","Parody, School, Super Power",
,Finished Airing,2.0,R - 17+ (violence & profanity),6182.0,5169,20816,39,6.67,8869.0,"Action, Drama, Mystery, Supernatural",,Shoujo
,Finished Airing,4.0,R - 17+ (violence & profanity),9443.0,5336,19269,39,6.12,7161.0,"Drama, Horror",Vampire,Seinen
Zone of the Enders: Dolores,Finished Airing,26.0,PG-13 - Teens 13 or older,4846.0,6083,13613,39,6.92,4549.0,"Action, Adventure, Comedy, Sci-Fi","Mecha, Military, Space",
Cutey Honey F,Finished Airing,39.0,PG-13 - Teens 13 or older,6502.0,6454,11747,39,6.62,3082.0,"Action, Adventure, Comedy, Romance, Sci-Fi, Ecchi",,Shoujo
,Finished Airing,12.0,R+ - Mild Nudity,5606.0,4207,33661,39,6.77,12839.0,"Adventure, Comedy, Ecchi","Historical, Martial Arts",
ChroNoiR Episode.0,Finished Airing,1.0,R - 17+ (violence & profanity),3904.0,10547,3210,39,7.12,721.0,Supernatural,Vampire,
All Saints Street 3,Finished Airing,12.0,PG-13 - Teens 13 or older,666.0,6907,10124,39,8.01,4854.0,"Comedy, Fantasy","Mythology, Urban Fantasy",
Resident Evil: Infinite Darkness,Finished Airing,4.0,R - 17+ (violence & profanity),8700.0,5483,18028,39,6.26,10423.0,"Action, Horror, Sci-Fi",,
,Finished Airing,1.0,G - All Ages,2621.0,6403,12048,39,7.36,5926.0,"Comedy, Sports",Parody,
Immoral Sisters,Finished Airing,3.0,Rx - Hentai,,6575,11286,38,6.48,4995.0,Hentai,,
Ninja Girl & Samurai Master,Finished Airing,26.0,PG-13 - Teens 13 or older,3947.0,4506,29113,38,7.11,10650.0,Comedy,Historical,
,Finished Airing,2.0,Rx - Hentai,,6667,10926,38,6.63,3942.0,Hentai,,
Little Nemo: Adventures in Slumberland,Finished Airing,1.0,G - All Ages,3532.0,6619,11092,38,7.18,5407.0,"Adventure, Fantasy",,
,Finished Airing,12.0,PG-13 - Teens 13 or older,1664.0,4304,32027,38,7.59,14773.0,Comedy,School,
,Finished Airing,1.0,PG-13 - Teens 13 or older,2244.0,2844,69911,38,7.44,35734.0,"Action, Fantasy, Sci-Fi","Super Power, Urban Fantasy",
,Finished Airing,20.0,PG-13 - Teens 13 or older,3994.0,7519,8129,38,7.1,1635.0,Slice of Life,"Adult Cast, Pets, Workplace",Josei
,Finished Airing,1.0,PG-13 - Teens 13 or older,11265.0,3170,56993,38,5.78,31310.0,"Comedy, Romance",School,
La Blue Girl,Finished Airing,6.0,Rx - Hentai,,7112,9359,38,6.24,3601.0,Hentai,Mythology,
,Finished Airing,2.0,Rx - Hentai,,7164,9169,38,7.22,3893.0,"Fantasy, Hentai",Urban Fantasy,
,Finished Airing,50.0,G - All Ages,2440.0,9701,4169,38,7.4,2274.0,"Comedy, Sci-Fi","Gag Humor, Super Power",Shounen
Transformers Cybertron,Finished Airing,52.0,PG-13 - Teens 13 or older,6086.0,7902,7157,38,6.69,3541.0,"Action, Adventure, Sci-Fi",Mecha,
,Finished Airing,1.0,Rx - Hentai,,8416,6184,38,6.85,2134.0,Hentai,,
Deemo: Memorial Keys,Finished Airing,1.0,PG-13 - Teens 13 or older,9370.0,6371,12205,38,6.14,1273.0,"Drama, Fantasy",Music,
Air in Summer,Finished Airing,2.0,PG-13 - Teens 13 or older,2980.0,3756,42169,38,7.28,24695.0,"Comedy, Drama, Romance, Supernatural",Historical,
,Finished Airing,10.0,PG-13 - Teens 13 or older,6157.0,4283,32124,38,6.68,14264.0,"Comedy, Romance, Sci-Fi, Ecchi",Harem,
,Finished Airing,1.0,Rx - Hentai,,6735,10670,38,6.7,4525.0,Hentai,,
,Finished Airing,60.0,PG-13 - Teens 13 or older,7495.0,10397,3373,38,6.46,625.0,"Boys Love, Comedy",,
Fight! Kickers,Finished Airing,23.0,G - All Ages,5131.0,6816,10355,38,6.86,6478.0,Sports,Team Sports,Kids
,Finished Airing,6.0,R - 17+ (violence & profanity),10262.0,4824,24751,38,5.98,8590.0,Action,Super Power,
,Finished Airing,1.0,R - 17+ (violence & profanity),4368.0,7035,9653,38,7.03,3025.0,"Action, Fantasy, Mystery","Historical, Urban Fantasy, Vampire",Shounen
,Finished Airing,25.0,PG-13 - Teens 13 or older,4361.0,6165,13110,38,7.02,5804.0,"Adventure, Sci-Fi",Mecha,Shounen
"Go For It, Nakamura!",Not yet aired,0.0,,,6762,10586,38,,,Boys Love,School,
Love and Lies: Love of a Lifetime/Feelings of Love,Finished Airing,1.0,PG-13 - Teens 13 or older,7556.0,3863,40217,38,6.45,14131.0,"Drama, Romance",School,
,Finished Airing,39.0,PG-13 - Teens 13 or older,10774.0,7717,7590,38,5.88,850.0,"Action, Sci-Fi","Mecha, School",Kids
,Finished Airing,26.0,G - All Ages,5835.0,5351,19105,38,6.73,9983.0,"Comedy, Romance",Parody,
,Finished Airing,1.0,Rx - Hentai,,7538,8069,38,6.47,3349.0,Hentai,,
Solo Camping for Two,Currently Airing,24.0,PG-13 - Teens 13 or older,6991.0,5299,19843,38,6.54,1842.0,Slice of Life,Adult Cast,Seinen
Guilty Crown Locus: Reassortment,Finished Airing,1.0,R - 17+ (violence & profanity),3929.0,3869,39893,38,7.11,16466.0,"Action, Sci-Fi",Super Power,
Legend of the Condor Hero,Finished Airing,26.0,PG-13 - Teens 13 or older,2918.0,7025,9629,38,7.29,2871.0,"Adventure, Drama, Romance",Historical,
,Finished Airing,1.0,PG-13 - Teens 13 or older,889.0,7145,9245,38,7.88,3141.0,,Music,
Q,Finished Airing,1.0,PG-13 - Teens 13 or older,,10355,3414,38,7.42,2120.0,Action,Music,
,Finished Airing,1.0,G - All Ages,,5277,19989,38,7.53,12239.0,,Music,
Cardfight!! Vanguard Legion Mate,Finished Airing,33.0,PG-13 - Teens 13 or older,5783.0,5515,17749,38,6.74,8964.0,Action,Strategy Game,
Lord of Vermilion: The Crimson King,Finished Airing,12.0,PG-13 - Teens 13 or older,12865.0,3488,47992,38,5.35,13572.0,"Action, Fantasy",,
Demonbane,Finished Airing,12.0,R - 17+ (violence & profanity),7083.0,3952,38081,38,6.52,13830.0,"Action, Drama, Fantasy, Romance, Sci-Fi","Harem, Mecha",
,Finished Airing,136.0,PG-13 - Teens 13 or older,4485.0,8768,5564,38,7.0,1083.0,"Comedy, Gourmet, Slice of Life",,Seinen
My Wife is a High School Girl,Finished Airing,13.0,PG-13 - Teens 13 or older,8450.0,4393,30380,38,6.3,11462.0,"Comedy, Romance, Ecchi",School,Seinen
Farmagia,Finished Airing,12.0,PG-13 - Teens 13 or older,11888.0,5761,15768,38,5.65,4646.0,"Action, Adventure, Fantasy",,
Mysterious Play: Eikoden,Finished Airing,4.0,PG-13 - Teens 13 or older,5516.0,5375,18902,38,6.79,9398.0,"Adventure, Drama, Fantasy, Romance",Isekai,Shoujo
Rebuild World,Not yet aired,0.0,,,6663,10968,38,,,"Action, Sci-Fi",,
"K: SEVEN STORIES ""Lost Small World - Outside the Cage - """,Finished Airing,1.0,PG-13 - Teens 13 or older,2331.0,5044,22219,38,7.42,6530.0,Action,Super Power,
Azumanga Web Daioh,Finished Airing,1.0,G - All Ages,5859.0,4047,36200,38,6.72,19238.0,Comedy,"CGDCT, Gag Humor, School",
,Finished Airing,3.0,Rx - Hentai,,6517,11517,38,6.73,4796.0,Hentai,,
,Finished Airing,5.0,Rx - Hentai,,7117,9314,38,6.72,3726.0,"Adventure, Fantasy, Hentai",Mythology,
Jubei-chan the Ninja Girl: Secret of the Lovely Eyepatch,Finished Airing,13.0,PG-13 - Teens 13 or older,6195.0,5188,20658,38,6.67,8336.0,"Action, Adventure, Comedy, Drama",,
Married Couple Swap,Finished Airing,8.0,Rx - Hentai,,9655,4258,38,6.47,1440.0,Hentai,,
Sorcerous Stabber Orphen -Doom of Dragon's Sanctuary-,Finished Airing,12.0,PG-13 - Teens 13 or older,9733.0,6301,12529,38,6.08,2610.0,"Action, Adventure, Drama, Fantasy",Martial Arts,
,Finished Airing,13.0,PG-13 - Teens 13 or older,7298.0,4285,32143,38,6.49,12218.0,"Drama, Romance, Ecchi","Harem, School",
Mobile Suit Gundam: Iron-Blooded Orphans - Urdr Hunt,Finished Airing,12.0,R - 17+ (violence & profanity),7760.0,6317,12465,38,6.42,328.0,"Action, Drama, Sci-Fi","Mecha, Space",
,Finished Airing,2.0,PG-13 - Teens 13 or older,11126.0,7116,9380,38,5.82,2015.0,"Comedy, Fantasy",Isekai,
,Finished Airing,20.0,R+ - Mild Nudity,2286.0,6624,11064,38,7.43,3393.0,"Comedy, Drama",Martial Arts,Seinen
Adventure of Gamba,Finished Airing,26.0,G - All Ages,3331.0,8837,5472,38,7.22,1896.0,"Adventure, Suspense",Anthropomorphic,Kids
They Were Eleven,Finished Airing,1.0,PG-13 - Teens 13 or older,4488.0,6137,13285,38,7.0,5631.0,"Action, Adventure, Drama, Mystery, Romance, Sci-Fi",Space,Shoujo
,Finished Airing,68.0,G - All Ages,5225.0,7616,7836,38,6.84,4224.0,Sports,,
,Finished Airing,1.0,PG-13 - Teens 13 or older,2848.0,2914,67041,38,7.31,37369.0,Comedy,,Seinen
,Finished Airing,13.0,PG-13 - Teens 13 or older,4834.0,5566,17261,38,6.92,5965.0,"Drama, Sci-Fi","Military, Space",
Laid-Back Camp Season 4,Not yet aired,0.0,PG-13 - Teens 13 or older,,5427,18593,38,,,Slice of Life,"CGDCT, Iyashikei",
Tsurune: Kazemai High School Japanese Archery Club - Dangerous Shoot,Finished Airing,1.0,PG-13 - Teens 13 or older,3094.0,4102,35451,38,7.26,16316.0,Sports,School,
Youths and Golden Coffin,Finished Airing,26.0,PG-13 - Teens 13 or older,4108.0,10680,3105,38,7.08,831.0,"Action, Adventure, Mystery","Historical, Martial Arts",
,Finished Airing,2.0,Rx - Hentai,,9026,5174,37,5.84,1672.0,"Fantasy, Hentai",,
Happy-Go-Lucky Days,Finished Airing,1.0,PG-13 - Teens 13 or older,12645.0,4837,24572,37,5.42,7343.0,"Boys Love, Girls Love",,
Saga of Tanya the Evil: War Report,Finished Airing,1.0,R - 17+ (violence & profanity),5914.0,3873,40029,37,6.72,20084.0,"Action, Fantasy","Isekai, Military, Reincarnation",
Ghost in the Shell: Stand Alone Complex: Tachikomatic Days,Finished Airing,26.0,PG - Children,3952.0,4681,26572,37,7.11,12519.0,"Comedy, Sci-Fi",Mecha,
Shadowverse Flame,Finished Airing,50.0,PG-13 - Teens 13 or older,5868.0,7879,7274,37,6.73,1634.0,Fantasy,Strategy Game,
The Irregular at Magic High School The Movie: Yotsuba Succession Arc,Not yet aired,1.0,PG-13 - Teens 13 or older,,4895,23963,37,,,"Action, Fantasy, Romance, Sci-Fi",School,
,Finished Airing,1.0,PG-13 - Teens 13 or older,539.0,4035,36588,37,8.1,17166.0,"Action, Comedy","Gag Humor, Historical, Parody, Samurai",Shounen
,Finished Airing,6.0,PG-13 - Teens 13 or older,3072.0,3390,50412,37,7.26,23211.0,Comedy,School,
,Finished Airing,13.0,PG-13 - Teens 13 or older,5379.0,7257,8894,37,6.82,2477.0,"Action, Adventure, Fantasy",,
A Dog of Flanders,Finished Airing,52.0,G - All Ages,2361.0,7252,8892,37,7.41,2380.0,"Drama, Slice of Life","Historical, Pets, Visual Arts",
,Finished Airing,4.0,Rx - Hentai,,7196,9096,37,6.6,3623.0,"Supernatural, Hentai",Mythology,
,Finished Airing,1.0,Rx - Hentai,,10058,3766,37,6.5,1505.0,Hentai,,
KonoSuba: God's Blessing on This Wonderful World! (Sequel),Not yet aired,0.0,PG-13 - Teens 13 or older,,3654,44556,37,,,"Adventure, Comedy, Fantasy","Isekai, Parody",
After Class Lesson,Finished Airing,3.0,Rx - Hentai,,7070,9498,37,6.36,4094.0,Hentai,,
,Finished Airing,1.0,G - All Ages,5230.0,4889,23825,37,6.84,8242.0,Fantasy,,
Godzilla: City on the Edge of Battle,Finished Airing,1.0,R - 17+ (violence & profanity),7121.0,3721,43181,37,6.52,25554.0,"Action, Adventure, Sci-Fi",,
ChäoS;Child: Silent Sky,Finished Airing,1.0,PG-13 - Teens 13 or older,7314.0,4726,25997,37,6.49,9065.0,"Mystery, Sci-Fi, Supernatural",Psychological,
,Finished Airing,12.0,PG-13 - Teens 13 or older,4004.0,4216,33635,37,7.1,12958.0,Slice of Life,"Iyashikei, School",Shounen
Dragon Ball Z: The World's Strongest,Finished Airing,1.0,PG-13 - Teens 13 or older,6776.0,2006,120298,37,6.57,73181.0,"Action, Adventure, Comedy, Fantasy, Sci-Fi",,Shounen
,Finished Airing,2.0,Rx - Hentai,,7006,9740,37,6.86,3904.0,Hentai,,
,Finished Airing,14.0,PG-13 - Teens 13 or older,6003.0,4221,33480,37,6.7,15115.0,Comedy,,
New Dominion Tank Police,Finished Airing,6.0,PG-13 - Teens 13 or older,4985.0,6172,13051,37,6.89,5350.0,"Action, Comedy, Mystery, Sci-Fi","Detective, Mecha",Shounen
Made in Abyss: The Golden City of the Scorching Sun - Together with Papa,Finished Airing,1.0,PG-13 - Teens 13 or older,3354.0,5602,17063,37,7.22,5538.0,Fantasy,,
,Finished Airing,37.0,G - All Ages,4372.0,8693,5739,37,7.02,2479.0,Action,Mecha,Kids
,Finished Airing,1.0,Rx - Hentai,,6829,10344,37,6.82,4048.0,Hentai,,
Kuroko's Basketball OVA,Finished Airing,1.0,PG-13 - Teens 13 or older,1930.0,3288,53333,37,7.52,27315.0,Sports,"School, Team Sports",Shounen
,Finished Airing,4.0,Rx - Hentai,,9392,4616,37,6.74,1431.0,Hentai,,
Winter Cup Highlights Episode 3 – Winter Cup Highlights -Crossing the Door-,Finished Airing,1.0,PG-13 - Teens 13 or older,1011.0,3128,58778,37,7.83,17857.0,"Comedy, Sports",Team Sports,Shounen
,Finished Airing,8.0,Rx - Hentai,,9293,4777,37,6.44,1199.0,Hentai,,
,Finished Airing,4.0,PG-13 - Teens 13 or older,7815.0,5293,19845,37,6.41,8852.0,"Fantasy, Sci-Fi, Slice of Life",,
Insatiable,Finished Airing,2.0,Rx - Hentai,,8443,6089,37,6.02,2009.0,Hentai,,
The Defective,Finished Airing,16.0,,4626.0,10053,3767,37,6.97,1000.0,"Action, Sci-Fi",,
Dinosaur King D-Kids Adventure: Pterosaur Legend,Finished Airing,30.0,G - All Ages,6728.0,6392,12061,37,6.58,6813.0,"Action, Adventure, Sci-Fi",Strategy Game,Kids
,Finished Airing,2.0,Rx - Hentai,,7070,9494,37,6.69,3521.0,Hentai,,
,Finished Airing,2.0,Rx - Hentai,,7896,7214,37,6.3,3063.0,Hentai,,
,Finished Airing,12.0,PG-13 - Teens 13 or older,11893.0,7033,9642,37,5.65,2191.0,Sports,"Adult Cast, Racing",
Typhoon Noruda,Finished Airing,1.0,G - All Ages,9071.0,3738,42719,37,6.19,17884.0,"Award Winning, Drama, Sci-Fi, Supernatural",School,
,Finished Airing,3.0,R - 17+ (violence & profanity),5461.0,4626,27224,37,6.8,13074.0,"Action, Fantasy, Sci-Fi",Gore,
Shrouding the Heavens,Currently Airing,156.0,PG-13 - Teens 13 or older,1544.0,10641,3131,37,7.63,751.0,"Action, Adventure, Sci-Fi",,
Immemorial Love For You 2nd Season,Finished Airing,16.0,PG-13 - Teens 13 or older,6822.0,12383,1878,37,6.57,276.0,"Action, Fantasy, Romance, Sci-Fi",,
Modest Heroes,Finished Airing,3.0,G - All Ages,5234.0,4425,30189,37,6.84,14995.0,"Action, Adventure, Award Winning, Drama, Fantasy",,
,Finished Airing,2.0,Rx - Hentai,,7227,8982,37,6.42,3465.0,Hentai,,
,Finished Airing,2.0,Rx - Hentai,,6506,11581,37,7.03,4373.0,Hentai,,
Digimon Adventure 02: Revenge of Diaboromon,Finished Airing,1.0,PG - Children,3079.0,3214,55433,37,7.26,31601.0,"Adventure, Comedy, Drama, Sci-Fi",,Kids
,Finished Airing,1.0,PG-13 - Teens 13 or older,,6000,14113,37,6.3,6974.0,"Boys Love, Drama, Sports, Erotica",Music,
,Finished Airing,1.0,Rx - Hentai,,6332,12380,37,6.59,4955.0,"Fantasy, Hentai",,
Riddle Story of Devil: Who's the Winner?,Finished Airing,1.0,R - 17+ (violence & profanity),7309.0,3753,42449,37,6.49,21352.0,"Action, Comedy, Girls Love, Ecchi",,
,Finished Airing,2.0,Rx - Hentai,,7005,9705,37,6.74,3694.0,Hentai,,
Hero Tales,Finished Airing,26.0,PG-13 - Teens 13 or older,5402.0,4509,28754,37,6.81,10444.0,"Action, Adventure, Fantasy",Martial Arts,Shounen
,Finished Airing,1.0,PG-13 - Teens 13 or older,5571.0,3194,56106,37,6.78,25584.0,"Action, Fantasy",,Shounen
Scorched Bread,Finished Airing,10.0,G - All Ages,5643.0,8121,6699,37,6.76,3427.0,"Comedy, Gourmet",,
Body Transfer,Finished Airing,2.0,Rx - Hentai,,6456,11755,37,6.25,4897.0,Hentai,,
Napping Princess,Finished Airing,1.0,PG-13 - Teens 13 or older,5316.0,3789,41786,37,6.83,13665.0,"Adventure, Fantasy, Sci-Fi",,
Rio - Rainbow Gate!: Reshuffle,Finished Airing,13.0,PG-13 - Teens 13 or older,10951.0,3683,43693,37,5.84,15648.0,"Comedy, Ecchi",Strategy Game,
,Finished Airing,5.0,R+ - Mild Nudity,4350.0,2963,65230,37,7.03,33332.0,Ecchi,,
The Buried Tree Devil,Finished Airing,12.0,PG-13 - Teens 13 or older,5047.0,8869,5437,37,6.88,647.0,"Adventure, Mystery, Supernatural",,
,Finished Airing,2.0,Rx - Hentai,,8006,6932,37,6.25,2442.0,"Fantasy, Hentai",Mythology,
Maya the Bee,Finished Airing,52.0,G - All Ages,6738.0,6631,11047,37,6.58,6198.0,"Adventure, Comedy",,Kids
,Finished Airing,1.0,PG-13 - Teens 13 or older,5436.0,5479,18054,37,6.81,6016.0,"Adventure, Drama, Mystery",Video Game,
Kinmoza! Pretty Days,Finished Airing,1.0,PG-13 - Teens 13 or older,1975.0,4680,26735,37,7.51,11524.0,Slice of Life,"CGDCT, School",Seinen
A Certain Scientific Railgun S Specials,Finished Airing,2.0,PG-13 - Teens 13 or older,4242.0,4033,36498,36,7.05,15000.0,Comedy,,
Leviathan: The Last Defense,Finished Airing,13.0,PG-13 - Teens 13 or older,8635.0,4429,29972,36,6.27,11881.0,"Comedy, Fantasy",,
,Finished Airing,26.0,PG-13 - Teens 13 or older,1310.0,7858,7311,36,7.71,3630.0,Comedy,Music,
#Compass2.0: Animation Project,Finished Airing,12.0,PG-13 - Teens 13 or older,10492.0,6936,10009,36,5.93,2284.0,Action,Strategy Game,
Thermae Romae,Finished Airing,3.0,PG-13 - Teens 13 or older,4848.0,4555,28209,36,6.92,13183.0,Comedy,"Adult Cast, Historical, Time Travel",Seinen
Digimon Adventure tri. Loss,Finished Airing,1.0,PG-13 - Teens 13 or older,3000.0,3047,61817,36,7.28,33587.0,"Action, Adventure, Comedy, Drama",,
Magical Girl Lyrical Nanoha: Detonation,Finished Airing,1.0,PG-13 - Teens 13 or older,1902.0,6896,10154,36,7.53,3706.0,"Action, Comedy, Drama",Mahou Shoujo,
Amagi Brilliant Park: No Time to Take It Easy!,Finished Airing,1.0,PG-13 - Teens 13 or older,3395.0,2233,103870,36,7.21,58107.0,"Comedy, Supernatural",Workplace,
Cardcaptor Sakura: Leave it to Kero! Theatrical Version,Finished Airing,1.0,G - All Ages,2770.0,4256,32716,36,7.32,16693.0,"Comedy, Gourmet",,Shoujo
,Finished Airing,1.0,Rx - Hentai,,7522,8108,36,6.34,2956.0,Hentai,,
,Not yet aired,0.0,,,6353,12323,36,,,"Comedy, Fantasy, Romance",,Shounen
,Not yet aired,0.0,,,5278,20020,36,,,"Action, Adventure, Fantasy","Isekai, Military",
"Say ""I Love You."" OVA",Finished Airing,1.0,PG-13 - Teens 13 or older,3346.0,2918,66860,36,7.22,33221.0,Romance,School,Shoujo
,Finished Airing,6.0,PG-13 - Teens 13 or older,3221.0,13423,1371,36,7.24,184.0,Sports,School,
,Finished Airing,1.0,R - 17+ (violence & profanity),6031.0,5197,20507,36,6.7,9442.0,"Action, Horror, Sci-Fi",,
Fabulous Beasts,Finished Airing,12.0,PG-13 - Teens 13 or older,1751.0,13005,1546,36,7.57,488.0,"Comedy, Fantasy",,
,Finished Airing,2.0,Rx - Hentai,,6862,10252,36,6.75,3674.0,Hentai,,
Ruru's Suicide Show on a Livestream,Finished Airing,1.0,PG-13 - Teens 13 or older,,10173,3602,36,7.58,2165.0,,Music,
,Finished Airing,12.0,PG-13 - Teens 13 or older,6501.0,5025,22235,36,6.62,9188.0,"Action, Adventure, Comedy, Sci-Fi",Mecha,
Ranma 1/2 Special: Reawakening Memories,Finished Airing,2.0,PG-13 - Teens 13 or older,1723.0,5157,20979,36,7.57,10045.0,"Comedy, Drama, Romance",Magical Sex Shift,Shounen
,Finished Airing,12.0,PG-13 - Teens 13 or older,4750.0,6650,11009,36,6.94,3463.0,Slice of Life,"Idols (Male), Music, Performing Arts, School",
The Testament of Sister New Devil: Burst Specials,Finished Airing,5.0,R+ - Mild Nudity,5563.0,3989,37474,36,6.78,15084.0,"Comedy, Supernatural, Ecchi",,
,Finished Airing,2.0,Rx - Hentai,,6923,10064,36,6.16,4238.0,Hentai,,
Spider Riders,Finished Airing,26.0,PG - Children,6872.0,6755,10529,36,6.56,4445.0,"Action, Adventure",Mecha,
,Finished Airing,6.0,Rx - Hentai,,8392,6222,36,7.23,2364.0,Hentai,,
,Finished Airing,2.0,R+ - Mild Nudity,,6603,11190,36,5.45,4210.0,Erotica,,Josei
"Love, Chunibyou and Other Delusions!: Take On Me Mini-Theater",Finished Airing,24.0,G - All Ages,4809.0,5224,20402,36,6.92,6919.0,Comedy,,
Here is Greenwood,Finished Airing,6.0,PG-13 - Teens 13 or older,5579.0,6574,11291,36,6.77,3312.0,"Slice of Life, Supernatural",,Shoujo
,Finished Airing,10.0,PG-13 - Teens 13 or older,11915.0,5815,15467,36,5.64,6118.0,"Action, Adventure",,Seinen
,Finished Airing,10.0,PG-13 - Teens 13 or older,7055.0,6131,13361,36,6.52,3017.0,"Comedy, Girls Love",School,
,Finished Airing,6.0,PG-13 - Teens 13 or older,6223.0,6226,12835,36,6.67,5262.0,"Action, Adventure, Comedy, Sci-Fi",Racing,
,Finished Airing,1.0,Rx - Hentai,,7667,7722,36,6.64,3124.0,Hentai,,
Carp Reborn,Finished Airing,16.0,PG-13 - Teens 13 or older,2619.0,9190,4920,36,7.36,2005.0,"Action, Adventure, Fantasy",,
,Finished Airing,2.0,R - 17+ (violence & profanity),1175.0,3768,41931,36,7.76,17374.0,Comedy,"Gag Humor, Parody, School",Shounen
Hidamari Sketch: Sae & Hiro Graduation,Finished Airing,2.0,PG-13 - Teens 13 or older,574.0,5685,16338,36,8.08,7051.0,Slice of Life,"CGDCT, Iyashikei, School, Visual Arts",
All Purpose Cultural Cat Girl Nuku Nuku,Finished Airing,6.0,R+ - Mild Nudity,6141.0,5986,14165,36,6.68,5491.0,"Adventure, Comedy, Sci-Fi",Mecha,Seinen
,Finished Airing,13.0,PG-13 - Teens 13 or older,11054.0,7516,8139,36,5.83,1994.0,"Action, Sci-Fi",Mecha,
,Finished Airing,13.0,PG-13 - Teens 13 or older,6610.0,4410,30169,36,6.6,12686.0,"Comedy, Drama, Romance",Harem,
Cardfight!! Vanguard Asia Circuit,Finished Airing,39.0,PG-13 - Teens 13 or older,5517.0,4618,27398,36,6.79,14973.0,Action,Strategy Game,
Maid in Heaven,Finished Airing,2.0,Rx - Hentai,,7072,9488,36,6.43,3765.0,Hentai,,
Blue Comet SPT Layzner,Finished Airing,38.0,PG-13 - Teens 13 or older,4891.0,7598,7889,36,6.91,2173.0,Sci-Fi,"Mecha, Military, Space",
,Finished Airing,2.0,Rx - Hentai,,6390,12084,36,6.88,4511.0,Hentai,,
Reign: The Conqueror,Finished Airing,13.0,R+ - Mild Nudity,11246.0,7039,9603,36,5.78,3816.0,"Action, Adventure, Fantasy, Sci-Fi, Supernatural",Historical,
