title_english,status,episodes,rating,rank,popularity,members,favorites,score,scored_by,genres,themes,demographics
The Rising of the Shield Hero,Finished Airing,25.0,PG-13 - Teens 13 or older,803.0,68,1702057,25235,7.92,1053370.0,"Action, Adventure, Drama, Fantasy",Isekai,
Demon Slayer: Kimetsu no Yaiba Entertainment District Arc,Finished Airing,11.0,R - 17+ (violence & profanity),61.0,75,1622101,25002,8.71,1035012.0,"Action, Supernatural",Historical,Shounen
Nichijou - My Ordinary Life,Finished Airing,26.0,PG-13 - Teens 13 or older,159.0,195,950818,24954,8.47,388875.0,Comedy,"Gag Humor, School",Shounen
K-ON!,Finished Airing,13.0,PG-13 - Teens 13 or older,929.0,153,1097352,24951,7.86,595502.0,Comedy,"CGDCT, Music, School",
Elfen Lied,Finished Airing,13.0,R+ - Mild Nudity,2156.0,78,1576062,24611,7.46,904217.0,"Action, Drama, Horror, Romance, Suspense","Gore, Psychological, Super Power",Seinen
Jujutsu Kaisen Season 2,Finished Airing,23.0,R - 17+ (violence & profanity),50.0,125,1222183,24567,8.74,698959.0,"Action, Supernatural","Gore, School",Shounen
86 Eighty-Six,Finished Airing,11.0,R - 17+ (violence & profanity),263.0,215,899412,24497,8.33,468638.0,"Action, Drama, Sci-Fi","Mecha, Military",
Charlotte,Finished Airing,13.0,PG-13 - Teens 13 or older,1201.0,66,1706911,24432,7.75,1035753.0,Drama,"School, Super Power",
Yu Yu Hakusho: Ghost Files,Finished Airing,112.0,PG-13 - Teens 13 or older,165.0,299,729822,24072,8.46,348164.0,"Action, Supernatural","Martial Arts, Mythology",Shounen
Fighting Spirit,Finished Airing,75.0,PG-13 - Teens 13 or older,39.0,355,655839,23993,8.78,323196.0,Sports,Combat Sports,Shounen
Monogatari Series: Second Season,Finished Airing,26.0,R - 17+ (violence & profanity),45.0,319,701866,23971,8.76,372068.0,"Comedy, Mystery, Romance, Supernatural",Vampire,
Food Wars! Shokugeki no Soma,Finished Airing,24.0,PG-13 - Teens 13 or older,515.0,63,1711354,23706,8.12,1036107.0,"Gourmet, Ecchi",School,Shounen
Baccano!,Finished Airing,13.0,R - 17+ (violence & profanity),243.0,200,939834,23553,8.35,392720.0,"Action, Mystery, Supernatural","Adult Cast, Historical, Organized Crime",
JoJo's Bizarre Adventure: Stardust Crusaders,Finished Airing,24.0,R - 17+ (violence & profanity),522.0,110,1305523,23446,8.11,922543.0,"Action, Adventure",Super Power,Shounen
Maid Sama!,Finished Airing,26.0,PG-13 - Teens 13 or older,694.0,109,1304776,23403,7.99,758309.0,"Comedy, Romance",School,Shoujo
Princess Mononoke,Finished Airing,1.0,PG-13 - Teens 13 or older,71.0,106,1332025,23356,8.67,858110.0,"Action, Adventure, Award Winning, Fantasy",,
Black Butler,Finished Airing,24.0,R - 17+ (violence & profanity),1470.0,122,1241495,23263,7.65,633408.0,"Action, Mystery, Supernatural","Historical, Mythology",Shounen
High School DxD,Finished Airing,12.0,R+ - Mild Nudity,2780.0,90,1495268,23015,7.32,936830.0,"Action, Comedy, Romance, Supernatural, Ecchi","Harem, Mythology, School",
Terror in Resonance,Finished Airing,11.0,R - 17+ (violence & profanity),564.0,123,1238412,22936,8.08,650404.0,"Mystery, Suspense","Detective, Psychological",
Hellsing Ultimate,Finished Airing,10.0,R - 17+ (violence & profanity),259.0,182,984855,22907,8.34,509254.0,"Action, Horror, Supernatural","Adult Cast, Gore, Military, Vampire",Seinen
Attack on Titan Season 2,Finished Airing,12.0,R - 17+ (violence & profanity),133.0,12,2899674,22435,8.53,1983504.0,"Action, Drama, Suspense","Gore, Military, Survival",Shounen
Bleach: Thousand-Year Blood War,Finished Airing,13.0,R - 17+ (violence & profanity),12.0,361,647815,22427,8.99,345141.0,"Action, Adventure, Supernatural",,Shounen
I Want To Eat Your Pancreas,Finished Airing,1.0,PG-13 - Teens 13 or older,126.0,162,1058992,22407,8.55,632758.0,"Drama, Romance",School,
Dororo,Finished Airing,24.0,R - 17+ (violence & profanity),339.0,107,1321428,22295,8.25,673329.0,"Action, Adventure, Fantasy","Historical, Mythology, Samurai",Shounen
From the New World,Finished Airing,25.0,R - 17+ (violence & profanity),348.0,259,806507,22238,8.25,285170.0,"Drama, Fantasy, Horror, Mystery, Sci-Fi, Suspense",Psychological,
My Dress-Up Darling,Finished Airing,12.0,PG-13 - Teens 13 or older,477.0,129,1210410,22068,8.15,735615.0,Romance,"Otaku Culture, School",Seinen
Higurashi: When They Cry,Finished Airing,26.0,R - 17+ (violence & profanity),916.0,246,837652,21707,7.87,407906.0,"Horror, Mystery, Suspense","Gore, Psychological",
The Apothecary Diaries,Finished Airing,24.0,PG-13 - Teens 13 or older,26.0,336,683646,21692,8.87,372196.0,"Drama, Mystery","Historical, Medical",
Attack on Titan Season 3,Finished Airing,12.0,R - 17+ (violence & profanity),85.0,18,2547645,21650,8.63,1730471.0,"Action, Drama, Suspense","Gore, Military, Survival",Shounen
JoJo's Bizarre Adventure: Stardust Crusaders - Battle in Egypt,Finished Airing,24.0,R - 17+ (violence & profanity),183.0,133,1192481,21519,8.44,844217.0,"Action, Adventure",Super Power,Shounen
Kuroko's Basketball,Finished Airing,25.0,PG-13 - Teens 13 or older,613.0,117,1270747,21457,8.05,748563.0,Sports,"School, Team Sports",Shounen
Yuri!!! On Ice,Finished Airing,12.0,PG-13 - Teens 13 or older,843.0,202,928389,21184,7.9,554634.0,"Award Winning, Sports",Performing Arts,
Grand Blue Dreaming,Finished Airing,12.0,PG-13 - Teens 13 or older,184.0,240,851823,21163,8.44,453616.0,Comedy,"Adult Cast, Gag Humor",Seinen
Fruits Basket: The Final Season,Finished Airing,13.0,PG-13 - Teens 13 or older,15.0,452,534349,20998,8.95,265188.0,"Drama, Romance, Supernatural",,Shoujo
Perfect Blue,Finished Airing,1.0,R+ - Mild Nudity,125.0,280,774025,20768,8.55,415394.0,"Avant Garde, Award Winning, Drama, Horror, Suspense","Adult Cast, Psychological, Showbiz",
Fate/Zero Season 2,Finished Airing,12.0,R - 17+ (violence & profanity),129.0,137,1165348,20603,8.54,738757.0,"Action, Fantasy",Urban Fantasy,
